stop_id,stop_name,stop_lat,stop_lon
5776,Carijos 215 ,-30.149017,-51.219473
64,Carijos 385 ,-30.14917,-51.217878
6949,Cassio De Medeiros 760 ,-30.102056,-51.248116
3523,Parque Al 29 Dmae,-30.012441,-51.210728
3289,Ibanez Andre Pitthan Souza Al 395 ,-30.037089,-51.142114
2059,Guilherme Alves Al 574 ,-30.052641,-51.186792
6948,Joao De Oliveira Remiao 4086 09-A,-30.105496,-51.115127
6582,Fabio Carneiro Lima 505 ,-29.990284,-51.131382
6583,Fabio Carneiro Lima 500 ,-29.990336,-51.130979
4631,Campus Ufrgs - Agronomia Sn Entrada Iph,-30.075467,-51.116171
550,Jose Gomes 390 ,-30.107775,-51.249726
1890,Santiago Dantas Df 4 ,-30.078601,-51.19447
6946,Ernesto Neugebauer Df 1820/Ef Trens ,-29.978908,-51.180878
1870,Prof Oscar Pereira 3290 ,-30.078367,-51.199033
6947,Irmao Felix Roberto (Robertao) 35 ,-29.987048,-51.187542
4274,Vinte Um De Abril 1143 ,-29.982685,-51.129702
3824,Carneiro Da Fontoura 736 ,-30.004774,-51.168123
6945,Dr Ney Cabral Df 104 ,-30.085946,-51.214205
3677,A J Renner Sn Df Posto Shell,-29.987629,-51.194264
1278,Alpes Df 369 ,-30.086883,-51.196427
3673,A J Renner 595 ,-29.991412,-51.195486
243,Juca Batista 7424 ,-30.18004,-51.175768
6603,Antonio Severino Df 1970 ,-30.024086,-51.090668
1673,Octavio De Souza Df 40 ,-30.079725,-51.214034
1674,Octavio De Souza 40 ,-30.079764,-51.213959
1127,Rio Grande 212 ,-30.129657,-51.203984
4803,Delmar Rocha Barbosa Al 336 ,-30.013311,-51.107849
6683,Juscelino Kubitschek De Oliveira Al 1030 ,-30.020842,-51.109618
1741,Prof Carvalho Freitas 1160 ,-30.080504,-51.200667
6944,Dona Iris S/Nº ,-30.070609,-51.170412
91,Retiro Da Ponta Grossa Df 2326 ,-30.184971,-51.196592
92,Retiro Da Ponta Grossa 2316 ,-30.184865,-51.196157
100,Retiro Da Ponta Grossa Df 1750 ,-30.183719,-51.193627
99,Retiro Da Ponta Grossa 1700/1710 ,-30.183646,-51.19327
104,Retiro Da Ponta Grossa Df 1400 ,-30.182359,-51.190445
103,Retiro Da Ponta Grossa 1400 ,-30.182427,-51.190415
106,Retiro Da Ponta Grossa Df 1220 ,-30.181484,-51.188416
5399,Retiro Da Ponta Grossa 1220 ,-30.181611,-51.188523
132,Retiro Da Ponta Grossa 740 ,-30.180033,-51.184088
5760,Retiro Da Ponta Grossa 370 ,-30.179357,-51.180317
241,Retiro Da Ponta Grossa 427 ,-30.179287,-51.180339
5833,Retiro Da Ponta Grossa 84 ,-30.178847,-51.176528
71,Retiro Da Ponta Grossa 3605 ,-30.184903,-51.209868
3381,Emilio Schlabitz Neto Al 119 Praca,-30.03866,-51.134413
3382,Emilio Schlabitz Neto Df 119 Praca,-30.038614,-51.134483
4852,Senhor Do Bom Fim 1093 ,-29.985392,-51.114384
4853,Senhor Do Bom Fim 1050 ,-29.985379,-51.114631
2683,Dona Firmina 1320 ,-30.073468,-51.168885
2662,Borborema Df 795 ,-30.073849,-51.169897
4331,Otaviano Jose Pinto 390 Df Mercado Extremo-sul,-30.240283,-51.081418
2663,Borborema Df 777 ,-30.073711,-51.169906
4551,Gervazio Braga Pinheiro 518 Shalon Confeccoes,-30.122906,-51.098286
4552,Gervazio Braga Pinheiro Df 488 Escola,-30.123056,-51.098141
6246,Francisca De Oliveira Vieira 488 ,-30.207647,-51.178511
6943,Francisca De Oliveira Vieira Df 488 ,-30.207728,-51.17846
2825,Bem-te-vi 263 ,-30.056891,-51.152408
1192,Belem Velho Esq. Kanazawa ,-30.117353,-51.184538
6942,Ernesto Neugebauer Df 280 ,-29.991437,-51.191053
6941,Ernesto Neugebauer 280 ,-29.991417,-51.191143
3462,Alexandre Luiz Df 193 ,-30.017702,-51.132705
1210,Amapa 1300 ,-30.107503,-51.210338
3395,Nilo Ruschel Df 672 Praca Quadra De Futebol,-30.034816,-51.131828
4555,Gervazio Braga Pinheiro Al 738 ,-30.121278,-51.098922
88,Heitor Vieira 359/363 ,-30.210528,-51.183953
5303,Edgar Pires De Castro Al 2069 ,-30.156173,-51.170047
4355,Edgar Pires De Castro Df 10521 Escola General Neto,-30.204522,-51.11575
4515,Taquara 467 ,-30.119332,-51.102817
6940,Cristiano Kraemer 2007 ,-30.132167,-51.197213
3610,Pernambuco 1234 ,-30.00355,-51.19863
6939,Marinheiros Al 130 ,-30.029548,-51.25255
1525,Maua Ef Armazem A5 ,-30.030527,-51.237568
6938,Irmao Antonio Cecchin Df 495 ,-30.028657,-51.091861
4771,Joao Fazio Amato 248 ,-30.017322,-51.097631
2828,Um Cefer Um Al 253 - Df 170 ,-30.054985,-51.15239
6502,Dr Caio Brandao De Mello Ef Emef Ver Anto ,-29.980277,-51.185782
6351,Severo Dullius 125 ,-29.987098,-51.157462
6937,Severo Dullius Df 25 ,-29.987112,-51.155876
6936,Lenea Gaelzer 6935_Espelhada ,-29.986839,-51.155571
6935,Lenea Gaelzer Ef Alfa Sist Aut ,-29.986832,-51.155654
6934,Seis Mil Trezentos Vinte Um S/N ,-30.145946,-51.212744
6933,Solon Vieira Marques 655 ,-30.141758,-51.134631
6932,Ten Cel Waldomiro Eifler Al 406 ,-30.027353,-51.090947
6930,Brasil Df 834 ,-30.005766,-51.199147
6931,Ten Cel Waldomiro Eifler Df 406 ,-30.027691,-51.091061
6929,Brasil Df 610 ,-30.005112,-51.201302
6928,Winston Churchill Esq R Dr Jose C ,-30.047191,-51.177023
6927,Winston Churchill Esq R Liverpool ,-30.047161,-51.175715
6926,Winston Churchill Esq R Piramide ,-30.047126,-51.173651
6685,Tres Mil Quarenta Lot Campos Conde Sn Po Na Rua D,-30.026374,-51.129398
6925,Airton Ferreira Da Silva Df 225 ,-29.973738,-51.191287
6661,G Jardim Passo Das Pedras Ii 78 ,-30.027534,-51.129301
6832,Minas Gerais Df 425 ,-29.990448,-51.127533
6577,Minas Gerais 226 ,-29.990571,-51.129688
6172,Juscelino Kubitschek De Oliveira Nn 440 ,-30.019823,-51.115746
5787,Ventos Do Sul Df 120 ,-30.123927,-51.208664
5499,Azenha  ,-30.050311,-51.210364
5258,Pereira Parobe  Mercado Publico,-30.02705,-51.227411
4919,Joao Ferreira Jardim Df 749 ,-30.006978,-51.098854
4124,Bispo Joao Scalabrini 300 ,-30.014157,-51.134306
5257,Pereira Parobe  Mercado Publico,-30.026888,-51.227469
